rank,title,authors,year,citations,venue,has_pdf,paperId
1,The Oracle Problem in Software Testing: A Survey,"Earl T. Barr, M. Harman, Phil McMinn et al.",2015,1040,IEEE Transactions on Software Engineering,True,0e17ab6c9d31a481c641f2b1760e09ea51ab76cc
2,Using bad learners to find good configurations,"V. Nair, T. Menzies, Norbert Siegmund et al.",2017,141,ESEC/SIGSOFT FSE,True,bcdc23c039c2bdeb74792a7cb752a28ad17e25a4
3,Finding Faster Configurations Using FLASH,"V. Nair, Zhe Yu, T. Menzies et al.",2018,138,IEEE Transactions on Software Engineering,True,9eb6bde06c8f943afa3244a9529d5102cb87d456
4,Handling Class-Imbalance with KNN (Neighbourhood) Under-Sampling for Software Defect Prediction,Somya Goyal,2021,122,Artificial Intelligence Review,False,2088c5b021f0f62f06e33f8b428a9123c3a8abfb
5,A Practical Guide to Select Quality Indicators for Assessing Pareto-Based Search Algorithms in Search-Based Software Engineering,"Shuai Wang, Shaukat Ali, T. Yue et al.",2016,117,International Conference on Software Engineering,True,4c75c109e9abadd5498f5ae92fe3a1738a05f23b
6,How to Evaluate Solutions in Pareto-Based Search-Based Software Engineering: A Critical Review and Methodological Guidance,"Tao Chen, M. Li, Xin Yao",2020,98,IEEE Transactions on Software Engineering,False,3587d2d031e53a5455d9bc6f023aece5c6a61f64
7,Learning to sample: exploiting similarities across environments to learn performance models for configurable systems,"Pooyan Jamshidi, Miguel Velez, Christian Kästner et al.",2018,89,ESEC/SIGSOFT FSE,True,8e598e31568b88ce222be09e65e3564b1d55321b
8,A survey of many-objective optimisation in search-based software engineering,"A. Ramírez, J. Romero, Sebastián Ventura",2019,89,Journal of Systems and Software,False,ce4d653a8aa1eefd7953a37a7a3691a18fc3a8d1
9,“Sampling” as a Baseline Optimizer for Search-Based Software Engineering,"Jianfeng Chen, V. Nair, R. Krishna et al.",2016,70,IEEE Transactions on Software Engineering,True,7bc66121b85df0788061f35ee2f0b67a54b2e55a
10,Faster discovery of faster system configurations with spectral learning,"V. Nair, T. Menzies, Norbert Siegmund et al.",2017,70,International Conference on Automated Software Engineering,True,64c060de8b5b4128cca1636d3770e578c5007f74
11,A holistic review on artificial intelligence techniques for well placement optimization problem,"Jahedul Islam, P. Vasant, B. Negash et al.",2020,69,Advances in Engineering Software,True,9bb0d290e311fd7b545622e7e61bef15b26c3c8b
12,Practitioners' Expectations on Automated Code Comment Generation,"Xing Hu, Xin Xia, D. Lo et al.",2022,66,International Conference on Software Engineering,True,68c04c8b2af2ea2b406fc6065fa2b854fb5cc3e4
13,The Interplay of Sampling and Machine Learning for Software Performance Prediction,"Christian Kaltenecker, A. Grebhahn, Norbert Siegmund et al.",2020,57,IEEE Software,False,efed8bf738744bd802e901725ccf401ae3a1ba18
14,Uniform Random Sampling Product Configurations of Feature Models That Have Numerical Features,"Daniel-Jesus Munoz, Jeho Oh, M. Pinto et al.",2019,57,Software Product Lines Conference,False,bc4cd3ba7f0ec1d22de1ad94cea41ebccefb0a61
15,Effective software defect prediction using support vector machines (SVMs),Somya Goyal,2021,45,International Journal of System Assurance Engineering and Management,False,7f6e074341b92e88a45683ea9292a9385397d92c
16,Predicting continuous integration build failures using evolutionary search,"Islem Saidani, Ali Ouni, Moataz Chouchen et al.",2020,44,Information and Software Technology,False,18654758c81428807a62f6cf505e383dc1607b2d
17,How Far Have We Progressed in Identifying Self-admitted Technical Debts? A Comprehensive Empirical Study,"Zhaoqiang Guo, Shiran Liu, Jinping Liu et al.",2021,43,ACM Transactions on Software Engineering and Methodology,False,e94d40478e7d211975a6484b08752853c5c17f21
18,An Active Learning Approach for Improving the Accuracy of Automated Domain Model Extraction,"Chetan Arora, M. Sabetzadeh, S. Nejati et al.",2019,39,ACM Transactions on Software Engineering and Methodology,False,abcad78d2dba846e7c02ab853f86fbb258ad9952
19,Whence to Learn? Transferring Knowledge in Configurable Systems Using BEETLE,"R. Krishna, V. Nair, Pooyan Jamshidi et al.",2019,35,IEEE Transactions on Software Engineering,False,11acd89b85610c6d5f86d00f235fbdc9c95fe2ac
20,TSI: Time series to imaging based model for detecting anomalous energy consumption in smart buildings,"Muhammad Fahim, Khadija Fraz, A. Sillitti",2020,31,Information Sciences,True,ff6df9d009ecc6bb4c648a258b3437fa9dacc15c
21,Robust admissibility and stabilization of uncertain singular fractional-order linear time-invariant systems,"Saliha Marir, M. Chadli",2019,29,IEEE/CAA Journal of Automatica Sinica,True,593489562b864de1470015d5cc89297a8c675a3d
22,Predicting the Defects using Stacked Ensemble Learner with Filtered Dataset,Somya Goyal,2021,20,International Conference on Automated Software Engineering,False,e3e9b486dd402589043dbe577b36ac18e598bf16
23,The contribution that empirical studies performed in industry make to the findings of systematic reviews: A tertiary study,"D. Budgen, P. Brereton, N. Williams et al.",2018,19,Information and Software Technology,True,296061d75e42f401e4b51416dbf9a51d7ad5b3a6
24,Identifying Solidity Smart Contract API Documentation Errors,Chenguang Zhu,2022,19,International Conference on Automated Software Engineering,True,2ca55fb4bbb1fd7785434c121d994a42ec008108
25,GenCoG: A DSL-Based Approach to Generating Computation Graphs for TVM Testing,"Zihan Wang, Pengbo Nie, Xinyuan Miao et al.",2023,18,International Symposium on Software Testing and Analysis,True,e8c4ceac31b1296d6d9e212952a18cf9600f3c27
26,Low-Overhead Deadlock Prediction,"Yan Cai, Ruijie Meng, J. Palsberg",2020,14,International Conference on Software Engineering,True,8a82b322d2a5c64ce908f59bca088124df4dcfa0
27,MAT: A simple yet strong baseline for identifying self-admitted technical debt,"Zhaoqiang Guo, Shiran Liu, Jinping Liu et al.",2019,14,arXiv.org,False,6b9c390d06d63fd26ee301390b3cec9bfad4bee7
28,Using mutation to design tests for aspect-oriented models,"B. Lindström, Jeff Offutt, Daniel Sundmark et al.",2017,13,Information and Software Technology,True,2c4c6d2780eaab71979eeb68442c683e790a4cc7
29,Learning from Very Little Data: On the Value of Landscape Analysis for Predicting Software Project Health,"Andre Lustosa, T. Menzies",2023,12,ACM Transactions on Software Engineering and Methodology,False,f479f16bc3ebabb970962ba1a641e4c58a87e175
30,Going deeper with optimal software products selection using many-objective optimization and satisfiability solvers,"Yi Xiang, Xiaowei Yang, Yuren Zhou et al.",2019,12,Empirical Software Engineering,False,1e8c74e790a8ca5fc2dc1a9d4c253faaf02f399a
31,Green Fuzzing: A Saturation-Based Stopping Criterion using Vulnerability Prediction,"Stephan Lipp, Daniel Elsner, Severin Kacianka et al.",2023,11,International Symposium on Software Testing and Analysis,True,e2119bd1782a674a86028507217142fceac5e08c
32,"More Signal, Less Noise: The Electronic Residency Application Program Supplemental Application in Radiology Match.","A. Rozenshtein, B. Griffith, Angelisa M. Paladin",2022,10,Journal of the American College of Radiology,True,532df60c535ce82a9d4dd5365fb0f5f4a3fa3948
33,Alleviating Class Imbalance Issue in Software Fault Prediction Using DBSCAN-Based Induced Graph Under-Sampling Method,"K. Bhandari, Kuldeep Kumar, A. L. Sangal",2024,9,The Arabian journal for science and engineering,False,7f97d6662b5347b0eeb2821a9e676fe9e84fc1a6
34,"Code-line-level Bugginess Identification: How Far have We Come, and How Far have We Yet to Go?","Zhaoqiang Guo, Shiran Liu, Xutong Liu et al.",2023,9,ACM Transactions on Software Engineering and Methodology,False,c147ffa9a742ddb6649822dd06d610af60692ec2
35,Risks and assets: a qualitative study of a software ecosystem in the mining industry,"Thomas Olsson, U. Franke",2019,8,ESEC/SIGSOFT FSE,True,550835b17623ca5f8647c5889917538ba881639a
36,PromiseTune: Unveiling Causally Promising and Explainable Configuration Tuning,"Peng Chen, Tao Chen",2025,8,arXiv.org,False,8e40aacb22c47e98abdc67d060d8572f656ccc80
37,Search-based Diverse Sampling from Real-world Software Product Lines,"Yi Xiang, Han Huang, Yuren Zhou et al.",2022,8,International Conference on Software Engineering,False,04198537079f2937dbe3de24287619ebe8419b7e
38,Automated patch extraction via syntax- and semantics-aware Delta debugging on source code changes,"M. Hashimoto, A. Mori, T. Izumida",2018,7,ESEC/SIGSOFT FSE,True,9cd33bb9b6d3f0561371b97bf6a1e17e7db96175
39,Neural-network-based carrier-less amplitude phase modulated signal generation and end-to-end optimization for fiber-terahertz integrated communication system.,"Changle Huang, Li Tao, Zhongya Li et al.",2024,7,Optics Express,True,a59b7a0761301024714e67054f35dcaa34d31cf7
40,Can Large Language Models Improve SE Active Learning via Warm-Starts?,"Lohith Senthilkumar, Tim Menzies",2024,7,ACM Transactions on Software Engineering and Methodology,False,9efbb55db48ee4d961764257e71128585ba61a6b
41,VEER: enhancing the interpretability of model-based optimizations,"Kewen Peng, Christian Kaltenecker, Norbert Siegmund et al.",2021,7,Empirical Software Engineering,False,51e7f44713f364c70ae8a5594723dba8641647df
42,Enhancing Function Name Prediction using Votes-Based Name Tokenization and Multi-task Learning,"Xiaoling Zhang, Zhengzi Xu, Shouguo Yang et al.",2024,6,Proc. ACM Softw. Eng.,True,7cb81d26dd3913128db2cdbf1d86075f37ff5cde
43,"Modelling, analysis and optimization of design parameter of bump-type gas foil journal bearing","V. Mourya, S. Bhore",2022,6,Engineering Research Express,True,f6f418f97cf6bd2d1efd64e530cc374e3c0d0b60
44,Signal-to-Interference-Plus-Noise Ratio Based Optimization for Sound Zone Control,"Jesper Brunnström, Toon van Waterschoot, M. Moonen",2023,6,IEEE Open Journal of Signal Processing,True,5b7388c25e3736a040aa18dd1e1c3b6e8c74fbbe
45,DBOS_US: a density-based graph under-sampling method to handle class imbalance and class overlap issues in software fault prediction,"K. Bhandari, Kuldeep Kumar, A. L. Sangal",2024,6,Journal of Supercomputing,False,a50cbe95412e532f6b9d651699bda6dceabbe2b2
46,Sampling configurations from software product lines via probability-aware diversification and SAT solving,"Yang Xiang, Xiaowei Yang, Han Huang et al.",2022,6,International Conference on Automated Software Engineering,False,8670aafdbbae208401d8fcd3d8646ad2c6a53b31
47,Predicting the Defects using Stacked Ensemble Learner with Filtered Dataset,Somya Goyal,2021,6,International Conference on Automated Software Engineering,False,e54c69a560db14165655d9a84492573ad73a3fd7
48,Data‐driven benchmarking in software development effort estimation: The few define the bulk,"N. Mittas, L. Angelis",2020,6,J. Softw. Evol. Process.,False,4104f1b6c054ec314716e2166bff883532855c2a
49,Multi-objective optimization of the hybrid photovoltaic-battery-diesel-desalination system based on multi-type of desalination unit,"Akbar Maleki, Zahra Eskandarfilabi, S. M. Mahmoudi et al.",2024,5,Environmental science and pollution research international,True,52a69a2a2c80becc2b182948c66fef830d747d86
50,Don’t Lie to Me: Avoiding Malicious Explanations With STEALTH,"Lauren Alvarez, Tim Menzies",2023,5,IEEE Software,False,3cf52050d84671170f7c76b1c4ca63ffdd5766df
51,MoMIT: Porting a JavaScript Interpreter on a Quarter Coin,"Rodrigo Morales, Rubén Saborido, Yann-Gaël Guéhéneuc",2019,5,IEEE Transactions on Software Engineering,False,a6f7cfec0d0c1de71dd5f74720f43835c566dab8
52,MOOT: a Repository of Many Multi-Objective Optimization Tasks,"Tim Menzies, Tao Chen, Yulong Ye et al.",2025,4,arXiv.org,True,890b23c5de338a621155e7a46523b581ff810221
53,"Less Noise, More Signal: DRR for Better Optimizations of SE Tasks","Andre Lustosa, Tim Menzies",2025,4,arXiv.org,True,9ec880142279a2f116b2e9f708ef73b3f2b310f2
54,iSNEAK: Partial Ordering as Heuristics for Model- Based Reasoning in Software Engineering,"Andre Lustosa, Tim Menzies",2023,4,IEEE Access,False,6fb43fdf2c6709b987693727aceaf33a8c53260d
55,BINGO! Simple Optimizers Win Big if Problems Collapse to a Few Buckets,"Kishan Kumar Ganguly, Tim Menzies",2025,3,arXiv.org,False,70989a72377d67ef093023c627ce586b06203142
56,Retrospective: Data Mining Static Code Attributes to Learn Defect Predictors,Tim Menzies,2025,2,IEEE Transactions on Software Engineering,False,8caf4ec989af9255c7cdaf62211fd64535cb268d
57,Preference Discovery in Large Product Lines,"Andre Lustosa, T. Menzies",2021,2,arXiv.org,False,7c6b3a48571f01bd9ebb6d7c6d2381dc7cd43468
58,A systematic literature review of the SBSE research community in Spain,"A. Ramírez, Pedro Delgado-Pérez, Javier Ferrer et al.",2020,2,Progress in Artificial Intelligence,False,22ea5e9feceffbf0475073cc5b0118f47e485e4d
59,Building Very Small Test Suites (with Snap).,"Jianfeng Chen, Xipeng Shen, T. Menzies",2019,2,,False,459d879d74bbcd9704b9e98340cb3b44f717ffb5
60,Optimization of preparation parameters of palm oil-based nanofuel with multi wall carbon nanotube (MWCNT) for stability using Taguchi-grey relation analysis (GRA) combination,"I. M. Nauri, Andoko Andoko, Riduwan Prasetya et al.",2024,1,Mechanical Engineering for Society and Industry,True,11b634c227206e7edb5af4e7a4c43dec70c32588
61,The prediction and optimization of ROP based on MLP-PSO,"Jia Wu, Chao Guo",2023,1,International Conference on the Software Process,True,c8d54871ad13c2140ddf47fab903c360f1c07351
62,Improving Voyage Efficiency in the Shipping 4.0 Decarbonization Era,"T. Varelas, Dimitrios Kaklis, Iraklis Varlamis et al.",2023,1,International Symposium on Service Oriented Software Engineering,True,8f12f8b90eb5291358953e7f10e5e337c5f7dfff
63,"More Signal, Less Noise: Targeted Content Marketing with Sinus-Milieus","James Edwards, Marc Calmbach",2020,1,,True,a72b80b74a4e64b5814a9b496faf6b5699dc1834
64,Beta distribution-based monogamous pairs genetic algorithm for knowledge transfer in many-task optimization,"Ting Yee Lim, Choo Jun Tan, Yi Wen Kerk et al.",2025,1,Knowledge-Based Systems,False,88726bff30e44ebc6c3fb2e17779a5858a57a7b2
65,Model Review: A PROMISEing Opportunity,Tim Menzies,2023,1,International Conference on Predictive Models in Software Engineering,False,8440ccee19e2c8291f167292f42d4e2f6b64458d
66,On the Benefits of Semi-Supervised Test Case Generation for Simulation Models,"Xiao Ling, Tim Menzies",2023,1,,False,180253d4872bb951dcd23dd6c662ba0dd6d840bf
67,A Tale of Two Cities: Data and Configuration Variances in Robust Deep Learning,"Guanqin Zhang, Jiankun Sun, Feng Xu et al.",2022,1,arXiv.org,False,0a462bb28b03e2b37f2ddc32fd7ce0b69fff27c5
68,SNEAK: Faster Interactive Search-based SE,"Andre Lustosa, Jaydeep M. Patel, Venkata Sai Teja Malapati et al.",2021,1,,False,684735446b2d9cd1bd08ca149a7ebc7c39ba4e19
69,Fairer Software Made Easier (using “Keys”),"T. Menzies, Kewen Peng, Andre Lustosa",2021,1,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),False,b4932ff30bb615cce993f92784966e693ab650b8
70,Faster SAT Solving for Software with Repeated Structures (with Case Studies on Software Test Suite Minimization),"Jianfeng Chen, Xipeng Shen, T. Menzies",2021,1,arXiv.org,False,e50207e5ddb04a0f152d72a7be03766a5eee6788
71,HornFuzz: Fuzzing CHC solvers,"Anzhela Sukhanova, Valentyn Sobol",2023,0,International Conference on Evaluation & Assessment in Software Engineering,True,d6da86019c99888e9ccb6441eaafe2d3a204136b
72,Exploring the potential of performance improvement of an enhanced solar-integrated power generation geothermal flash cycle system with sensible thermal energy storage: techno-economic evaluation and multi-objective optimization,"Paniz Arashrad, Shayan Rabet, M. Yari et al.",2025,0,Journal of Thermal Analysis and Calorimetry,True,13e2a4d73181db1578ecee06d44370b1472a87d9
73,Multi-Objective Optimization of Distributed Generation Placement in Electric Bus Transit Systems Integrated with Flash Charging Station Using Enhanced Multi-Objective Grey Wolf Optimization Technique and Consensus-Based Decision Support,"Y. Kongjeen, Pongsuk Pilalum, Saksit Deeum et al.",2025,0,Energies,True,2ad2cfcd1879eb2a1751adadb63aae77c4a32d44
74,Revealing Domain-Spatiality Patterns for Configuration Tuning: Domain Knowledge Meets Fitness Landscapes,"Yulong Ye, Hongyuan Liang, Chao Jiang et al.",2026,0,ACM Transactions on Software Engineering and Methodology,False,dba65fa3054236d3761faf43dfcaabc2eceded73
75,Can Causality Cure Confusion Caused By Correlation (in Software Analytics)?,"Amirali Rayegan, Tim Menzies",2026,0,,False,aa74a48e5a5d63fe320a0f39e16ca95d370b5e34
76,Beyond the Prompt: Assessing Domain Knowledge Strategies for High-Dimensional LLM Optimization in Software Engineering,"Srinath Srinivasan, Tim Menzies",2026,0,arXiv.org,False,caa80a6075843de146a113944ae332ea31150418
77,How Low Can You Go? The Data-Light SE Challenge,"Kishan Kumar Ganguly, Tim Menzies",2025,0,arXiv.org,False,092bb0d97c60221b31f6eac98ae73297c9425973
78,Unveiling Many Faces of Surrogate Models for Configuration Tuning: A Fitness Landscape Analysis Perspective,"Peng Chen, Hongyuan Liang, Tao Chen",2025,0,arXiv.org,False,3bf1a90178189265e8966d5f9929f1c9917b1756
79,Efficiently Ranking Software Variants with Minimal Benchmarks,"Théo Matricon, M. Acher, Helge Spieker et al.",2025,0,arXiv.org,False,953bab9680cedeb7bb8094be689068aacbe280c2
80,2019 Index IEEE Transactions on Software Engineering Vol. 45,,2020,0,IEEE Transactions on Software Engineering,False,d85b3e704538b875bb33d6d79d2c68e935770cd8
81,Multiobjective Optimization Using Evolutionary Algorithms in Agile Teams Allocation,"Júnea Eliza Brandão Caldeira, S. R. I. Yoshioka, Bruno Rafael de Oliveira Rodrigues et al.",2019,0,Brazilian Symposium on Software Quality,False,c3cd4c855a8661b72facca6a0f779fb4fe820ae5
82,Faster Creation of Smaller Test Suites (with SNAP),"Jianfeng Chen, T. Menzies",2019,0,arXiv.org,False,6fa40973264c08fd88156e7f848dc541b6f179eb
